"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Prairie Ridge","5/18/2015",11:20:00,"5/21/2015",11:35:00,"5E",4.1,7,NA
"Prairie Ridge","5/18/2015",11:42:00,"5/21/2015",11:23:00,"4E",3.7,6,NA
"Prairie Ridge","5/18/2015",14:10:00,"5/21/2015",09:12:00,"10E",0.7,7,"Was found slightly crooked"
"Prairie Ridge","5/18/2015",10:50:00,"5/21/2015",12:00:00,"6E",1.1,2,NA
"Prairie Ridge","5/18/2015",10:20:00,"5/21/2015",13:47:00,"7E",NA,NA,"Wet and unusable"
"Prairie Ridge","5/18/2015",13:30:00,"5/21/2015",10:10:00,"2E",1.7,8,NA
"Prairie Ridge","5/18/2015",14:10:00,"5/21/2015",09:39:00,"9E",7.7,16,NA
"Prairie Ridge","5/18/2015",11:54:00,"5/21/2015",10:46:00,"3E",21.3,51,NA
"Botanical Garden","5/19/2015",11:40:00,"5/22/2015",10:26:00,"5A",0.2,1,NA
"Botanical Garden","5/19/2015",13:35:00,"5/22/2015",11:40:00,"8B",0.1,1,NA
"Botanical Garden","5/19/2015",11:00:00,"5/22/2015",10:00:00,"4E",1.5,3,NA
"Botanical Garden","5/19/2015",13:00:00,"5/22/2015",10:56:00,"6D",0,0,NA
"Botanical Garden","5/19/2015",11:00:00,"5/22/2015",09:55:00,"4D",0.2,2,NA
"Botanical Garden","5/19/2015",10:08:00,"5/22/2015",09:12:00,"2C",1.4,6,NA
"Botanical Garden","5/19/2015",13:15:00,"5/22/2015",11:15:00,"7E",0.1,1,NA
"Botanical Garden","5/19/2015",13:00:00,"5/22/2015",10:45:00,"6C",0.1,2,NA
"Botanical Garden","5/19/2015",11:40:00,"5/22/2015",10:36:00,"5D",0.7,1,NA
"Botanical Garden","5/19/2015",13:35:00,"5/22/2015",11:31:00,"8D",29.5,6,NA
"Botanical Garden","5/19/2015",13:15:00,"5/22/2015",11:23:00,"7E",0.6,3,NA
"Botanical Garden","5/19/2015",09:38:00,"5/22/2015",08:55:00,"1B",10.1,24,NA
"Botanical Garden","5/19/2015",09:38:00,"5/22/2015",08:50:00,"1C",2.8,12,"was found slightly tilted, likely from storm"
"Botanical Garden","5/22/2015",11:28:00,"5/25/2015",09:05:00,"7B",1,7,NA
"Botanical Garden","5/22/2015",09:34:00,"5/25/2015",10:23:00,"3B",1.1,6,NA
"Botanical Garden","5/22/2015",09:19:00,"5/25/2015",10:43:00,"2B",1.3,6,NA
"Botanical Garden","5/22/2015",09:40:00,"5/25/2015",10:28:00,"3E",0.2,3,NA
"Botanical Garden","5/22/2015",11:12:00,"5/25/2015",09:00:00,"7E",0.6,3,NA
"Botanical Garden","5/22/2015",08:55:00,"5/25/2015",11:15:00,"1B",6,12,NA
"Botanical Garden","5/22/2015",09:55:00,"5/25/2015",10:13:00,"4D",1.2,3,NA
"Botanical Garden","5/22/2015",10:00:00,"5/25/2015",10:08:00,"4E",2,6,NA
"Botanical Garden","5/22/2015",10:28:00,"5/25/2015",09:45:00,"5A",1.1,3,NA
"Botanical Garden","5/22/2015",10:37:00,"5/25/2015",09:40:00,"5D",0.5,4,NA
"Botanical Garden","5/22/2015",11:00:00,"5/25/2015",09:30:00,"6D",1.1,4,NA
"Botanical Garden","5/22/2015",10:48:00,"5/25/2015",09:27:00,"6C",0.7,5,NA
