"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Prairie Ridge","5/18/2015","11:20","5/21/2015","11:35","5E",4.1,7,""
"Prairie Ridge","5/18/2015","11:42","5/21/2015","11:23","4E",3.7,6,""
"Prairie Ridge","5/18/2015","14:10","5/21/2015","9:12","10E",0.7,7,"Was found slightly crooked"
"Prairie Ridge","5/18/2015","10:50","5/21/2015","12:00","6E",1.1,2,""
"Prairie Ridge","5/18/2015","10:20","5/21/2015","13:47","7E",NA,NA,"Wet and unusable"
"Prairie Ridge","5/18/2015","13:30","5/21/2015","10:10","2E",1.7,8,""
"Prairie Ridge","5/18/2015","14:10","5/21/2015","9:39","9E",7.7,16,""
"Prairie Ridge","5/18/2015","11:54","5/21/2015","10:46","3E",21.3,51,""
"Botanical Garden","5/19/2015","11:40","5/22/2015","10:26","5A",0.2,1,""
"Botanical Garden","5/19/2015","13:35","5/22/2015","11:40","8B",0.1,1,""
"Botanical Garden","5/19/2015","11:00","5/22/2015","10:00","4E",1.5,3,""
"Botanical Garden","5/19/2015","13:00","5/22/2015","10:56","6D",0,0,""
"Botanical Garden","5/19/2015","11:00","5/22/2015","9:55","4D",0.2,2,""
"Botanical Garden","5/19/2015","10:08","5/22/2015","9:12","2C",1.4,6,""
"Botanical Garden","5/19/2015","13:15","5/22/2015","11:15","7E",0.1,1,""
"Botanical Garden","5/19/2015","13:00","5/22/2015","10:45","6C",0.1,2,""
"Botanical Garden","5/19/2015","11:40","5/22/2015","10:36","5D",0.7,1,""
"Botanical Garden","5/19/2015","13:35","5/22/2015","11:31","8D",29.5,6,""
"Botanical Garden","5/19/2015","13:15","5/22/2015","11:23","7E",0.6,3,""
"Botanical Garden","5/19/2015","9:38","5/22/2015","8:55","1B",10.1,24,""
"Botanical Garden","5/19/2015","9:38","5/22/2015","8:50","1C",2.8,12,"was found slightly tilted, likely from storm"
"Botanical Garden","5/22/2015","11:28","5/25/2015","9:05","7B",1,7,""
"Botanical Garden","5/22/2015","9:34","5/25/2015","10:23","3B",1.1,6,""
"Botanical Garden","5/22/2015","9:19","5/25/2015","10:43","2B",1.3,6,""
"Botanical Garden","5/22/2015","9:40","5/25/2015","10:28","3E",0.2,3,""
"Botanical Garden","5/22/2015","11:12","5/25/2015","9:00","7E",0.6,3,""
"Botanical Garden","5/22/2015","8:55","5/25/2015","11:15","1B",6,12,""
"Botanical Garden","5/22/2015","9:55","5/25/2015","10:13","4D",1.2,3,""
"Botanical Garden","5/22/2015","10:00","5/25/2015","10:08","4E",2,6,""
"Botanical Garden","5/22/2015","10:28","5/25/2015","9:45","5A",1.1,3,""
"Botanical Garden","5/22/2015","10:37","5/25/2015","9:40","5D",0.5,4,""
"Botanical Garden","5/22/2015","11:00","5/25/2015","9:30","6D",1.1,4,""
"Botanical Garden","5/22/2015","10:48","5/25/2015","9:27","6C",0.7,5,""
"Botanical Garden","5/22/2015","11:45","5/25/2015","8:50","8B",0.6,6,""
"Botanical Garden","5/22/2015","11:35","5/25/2015","8:45","8D",2.1,4,""
"Botanical Garden","5/22/2015","9:12","5/25/2015","10:49","2C",0.1,1,""
"Prairie Ridge","5/21/2015","12:06","5/26/2015","10:40","12E",2.3,8,"edge partially folded over"
"Prairie Ridge","5/21/2015","13:49","5/26/2015","9:37","7E",2.5,7,"paper slightly folded over"
"Prairie Ridge","5/21/2015","11:25","5/26/2015","11:15","4E",3.7,10,"hole in funnel bottom"
"Prairie Ridge","5/21/2015","11:35","5/26/2015","11:00","5E",2,2,"funnel tilted 30 degrees"
"Prairie Ridge","5/21/2015","10:05","5/26/2015","11:45","2E",2,11,""
"Prairie Ridge","5/21/2015","10:19","5/26/2015","12:03","1E",2.3,8,""
"Prairie Ridge","5/21/2015","9:41","5/26/2015","12:15","9E",4.6,9,""
"Prairie Ridge","5/21/2015","10:48","5/26/2015","11:30","3E",19.7,27,""
"Prairie Ridge","5/21/2015","9:12","5/26/2015","12:33","10E",0.5,2,""
"Prairie Ridge","5/26/2015","12:15","5/28/2015","9:15","9E",0.7,1,""
"Prairie Ridge","5/26/2015","12:35","5/28/2015","9:08","10E",0.4,3,""
"Prairie Ridge","5/26/2015","12:10","5/28/2015","9:25","1E",1.2,7,""
"Prairie Ridge","5/26/2015","11:48","5/28/2015","9:40","2E",3.4,1,""
"Prairie Ridge","5/26/2015","11:30","5/28/2015","9:48","3E",2.2,3,""
"Prairie Ridge","5/26/2015","11:15","5/28/2015","10:06","4E",4.8,14,""
"Prairie Ridge","5/26/2015","10:57","5/28/2015","10:25","5E",2.5,2,""
"Prairie Ridge","5/26/2015","10:10","5/28/2015","10:35","12E",1.8,4,""
"Prairie Ridge","5/26/2015","9:36","5/28/2015","11:05","7E",1.5,4,""
"Botanical Garden","5/25/2015","11:17","5/29/2015","8:50","1B",6.1,15,""
"Botanical Garden","5/25/2015","10:50","5/29/2015","9:00","2C",2.1,4,""
"Botanical Garden","5/25/2015","10:25","5/29/2015","9:16","3B",3,10,""
"Botanical Garden","5/25/2015","8:50","5/29/2015","10:50","8B",0.6,1,""
"Botanical Garden","5/25/2015","9:26","5/29/2015","10:07","6C",0.9,5,""
"Botanical Garden","5/25/2015","9:05","5/29/2015","10:28","7B",1.1,7,""
"Botanical Garden","5/25/2015","8:45","5/29/2015","10:43","8D",2.2,4,""
"Botanical Garden","5/25/2015","10:08","5/29/2015","9:35","4D",0.3,1,""
"Botanical Garden","5/25/2015","9:45","5/29/2015","10:03","5A",1.6,6,""
"Botanical Garden","5/25/2015","9:40","5/29/2015","9:53","5D",0.5,3,""
"Botanical Garden","5/25/2015","10:44","5/29/2015","8:57","2B",1.3,3,"Rain has caused a hole in the very center of the funnel "
"Botanical Garden","5/25/2015","9:30","5/29/2015","10:12","6D",0.1,3,""
"Botanical Garden","5/25/2015","10:27","5/29/2015","9:20","3E",0.3,1,""
"Botanical Garden","5/25/2015","9:00","5/29/2015","10:25","7E",0.3,6,""
