Date/Time (EST),2m Air Temperature (daily avg) (C),2m Max Temperature (C),2m Time of max temp (HHMM),2m Mean Temperature (C),2m Min Temperature (C),2m Time of min temp (HHMM),2m Calculated Maximum Heat Index (C)
42068,9.3,19.2,136,9.5,-0.2,2351,
42069,-1.4,2.8,1637,-1,-4.8,737,
42070,4.3,14,1634,3.6,-6.8,643,
42071,12.9,21.1,1507,13.3,5.4,626,
42072,14.9,18.4,1158,15.5,12.6,447,
42073,17.8,23.7,1635,18.1,12.4,28,25
42074,18.7,23.8,1227,19.4,15.1,2207,25.2
42075,13.7,18.2,1508,13.9,9.5,633,
42076,8.6,11.5,1458,8.8,6,518,
42077,12.4,17.1,1333,12.4,7.6,406,
42078,14.9,22.4,1623,15.8,9.2,542,
42079,17.3,26.1,1617,16.5,6.9,340,
42080,19.4,26.9,1441,18.8,10.6,626,25.4
42081,10.5,14.5,1523,9.8,5.1,647,
42082,8.4,11.5,1118,7.6,3.7,2353,
42083,6.8,10.6,1401,7.1,3.6,49,
42084,10.7,17.4,1651,11.1,4.8,300,
42085,14.1,17.8,1425,13.8,9.9,641,
42086,10.2,13.7,1607,10.2,6.7,2349,
42087,11,18.9,1524,11,3.2,518,
42088,12.8,19.5,1608,13.8,8,629,
42089,19,22.8,1354,18.4,14,217,24.7
42090,9.5,19,8,11.6,4.2,2214,
42091,4,7.4,1606,3.9,0.3,2356,
42092,3.7,10.5,1707,3.2,-4.1,626,
42093,9.8,18.5,1643,11.7,4.9,942,
42094,15,22.9,1630,13.2,3.6,548,
42095,13.9,18.9,1630,14.3,9.7,615,
42096,14.9,22.9,1629,13.6,4.4,640,23.7
42097,21.4,27.8,1614,21.8,15.8,128,26.9
42098,16.5,22.8,18,15.1,7.4,2352,24.7
42099,12.6,19.3,1609,11.4,3.5,617,
42100,18,23.6,1526,17.6,11.6,634,24.5
42101,18.5,22.1,1609,18.6,15.1,525,24.5
42102,21.4,28.4,1632,22.1,15.9,2354,28.4
42103,17.9,24.4,1504,19.1,13.8,658,25.8
42104,22.8,28.4,1623,22.9,17.5,0,28
