RecordID	Date	Site	Station	SurvType	TreeSpecies	LeafArea_pixels	RefArea_pixels	MeasuredFrom	RefType	RefArea_cm2	SpatialUncertainty	Notes	DataEntry							
1	6/6/2011	2704132	A	V	RHMA	829655	8409151	trace	8.5x11sheet	603.22			AO							
2	6/24/2011	2704132	A	V	PYPU	378939	8409151	trace	8.5x11sheet	603.22			AO							
3	5/21/2011	2704132	B	V	RHMA	739367	8409151	trace	8.5x11sheet	603.22			AO							
4	5/28/2011	2704132	B	V	RHMA	575453	8409151	trace	8.5x11sheet	603.22			AO							
5	6/6/2011	2704132	B	V	RHMA	1193420	8409151	trace	8.5x11sheet	603.22			AO							
6	6/24/2011	2704132	B	V	RHMA	465637	8409151	trace	8.5x11sheet	603.22			AO							
7	5/21/2011	2704132	C	V	RHMA	578543	8409151	trace	8.5x11sheet	603.22			AO							
8	6/6/2011	2704132	C	V	RHMA	758390	8409151	trace	8.5x11sheet	603.22			AO							
9	5/21/2011	2704132	D	V	CACA	404832	8409151	trace	8.5x11sheet	603.22			AO							
10	5/28/2011	2704132	D	V	BEAL	595981	8409151	trace	8.5x11sheet	603.22			AO							
11	6/6/2011	2704132	D	V	CACA	31570	8409151	trace	8.5x11sheet	603.22			AO							
12	5/28/2011	2704132	E	V	PYPU	670697	8409151	trace	8.5x11sheet	603.22			AO							
13	6/6/2011	2704132	E	V	AEFL	577780	8409151	trace	8.5x11sheet	603.22			AO							
14	5/21/2011	2704132	F	V	RHMA	834829	8409151	trace	8.5x11sheet	603.22			AO							
15	6/6/2011	2704132	F	V	RHMA	851209	8409151	trace	8.5x11sheet	603.22			AO							
16	6/15/2011	2704132	F	V	ACRU	1030205	8409151	trace	8.5x11sheet	603.22			AO							
17	5/21/2011	2704132	G	V	HAVI	959974	8409151	trace	8.5x11sheet	603.22			AO							
18	6/6/2011	2704132	G	V	HAVI	1085427	8409151	trace	8.5x11sheet	603.22			AO							
19	6/15/2011	2704132	G	V	FAGR	613583	8409151	trace	8.5x11sheet	603.22			AO							
20	6/15/2011	2704132	G	V	FAGR	516652	8409151	trace	8.5x11sheet	603.22			AO							
21	6/24/2011	2704132	G	V	FAGR	692034	8409151	trace	8.5x11sheet	603.22			AO							
22	6/24/2011	2704132	G	V	FAGR	695577	8409151	trace	8.5x11sheet	603.22			AO							
23	5/21/2011	2704132	H	V	MAFR	2509461	8409151	trace	8.5x11sheet	603.22			AO							
24	5/28/2011	2704132	H	V	RHMA	218403	8409151	trace	8.5x11sheet	603.22			AO							
25	5/28/2011	2704132	H	V	MAFR	4088041	8409151	trace	8.5x11sheet	603.22			AO							
26	6/6/2011	2704132	H	V	KALA	198340	8409151	trace	8.5x11sheet	603.22			AO							
27	6/24/2011	2704132	H	V	KALA	142440	8409151	trace	8.5x11sheet	603.22			AO							
28	5/21/2011	2704132	I	V	RHMA	984315	8409151	trace	8.5x11sheet	603.22			AO							
29	5/28/2011	2704132	I	V	RHMA	345486	8409151	trace	8.5x11sheet	603.22			AO							
30	6/6/2011	2704132	I	V	RHMA	564848	8409151	trace	8.5x11sheet	603.22			AO							
31	6/15/2011	2704132	I	V	RHMA	1074338	8409151	trace	8.5x11sheet	603.22			AO							
